CNAE,Descrição
4774100,COMÉRCIO VAREJISTA DE ARTIGOS DE ÓPTICA                                                                                  
4783101,COMÉRCIO VAREJISTA DE ARTIGOS DE JOALHERIA                                                                               
6920601,ATIVIDADES DE CONTABILIDADE                                                                                              
4782201,COMÉRCIO VAREJISTA DE CALÇADOS                                                                                           
6010100,ATIVIDADES DE RÁDIO                                                                                                      
4929902,"TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL   "
7311400,AGÊNCIAS DE PUBLICIDADE                                                                                                  
4781400,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS                                                                  
4744005,COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO NÃO ESPECIFICADOS ANTERIORMENTE                                            
4511101,"COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS                                                          "
9491000,ATIVIDADES DE ORGANIZAÇÕES RELIGIOSAS                                                                                    
4712100,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZ"
4637107,"COMÉRCIO ATACADISTA DE CHOCOLATES, CONFEITOS, BALAS, BOMBONS E SEMELHANTES                                               "
4789099,COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE                                                    
4642702,COMÉRCIO ATACADISTA DE ROUPAS E ACESSÓRIOS PARA USO PROFISSIONAL E DE SEGURANÇA DO TRABALHO                              
4789007,COMÉRCIO VAREJISTA DE EQUIPAMENTOS PARA ESCRITÓRIO                                                                       
4711302,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - SUPERMERCADOS                   "
4530703,COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES                                                  
4722901,COMÉRCIO VAREJISTA DE CARNES - AÇOUGUES                                                                                  
4744099,COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL                                                                   
8112500,CONDOMÍNIOS PREDIAIS                                                                                                     
4672900,COMÉRCIO ATACADISTA DE FERRAGENS E FERRAMENTAS                                                                           
4669999,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE (PARTES E PEÇAS)
4731800,COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES                                                             
4520001,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES                                                      
4754701,COMÉRCIO VAREJISTA DE MÓVEIS                                                                                             
4763602,COMÉRCIO VAREJISTA DE ARTIGOS ESPORTIVOS                                                                                 
4772500,"COMÉRCIO VAREJISTA DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL                                            "
4541203,COMÉRCIO A VAREJO DE MOTOCICLETAS E MOTONETAS NOVAS                                                                      
6550200,PLANOS DE SAÚDE                                                                                                          
4647801,COMÉRCIO ATACADISTA DE ARTIGOS DE ESCRITÓRIO E DE PAPELARIA                                                              
1095300,"FABRICAÇÃO DE ESPECIARIAS, MOLHOS, TEMPEROS E CONDIMENTOS                                                                "
4761001,COMÉRCIO VAREJISTA DE LIVROS                                                                                             
8219901,FOTOCÓPIAS                                                                                                               
6491300,SOCIEDADES DE FOMENTO MERCANTIL - FACTORING                                                                              
4721104,"COMÉRCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES                                                                "
5819100,"EDIÇÃO DE CADASTROS, LISTAS E OUTROS PRODUTOS GRÁFICOS                                                                   "
7911200,AGÊNCIAS DE VIAGENS                                                                                                      
4742300,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO                                                                                  
2599399,FABRICAÇÃO DE OUTROS PRODUTOS DE METAL NÃO ESPECIFICADOS ANTERIORMENTE                                                   
2399102,FABRICAÇÃO DE ABRASIVOS                                                                                                  
1610202,SERRARIAS SEM DESDOBRAMENTO DE MADEIRA                                                                                   
7739099,"ALUGUEL DE OUTRAS MÁQUINAS E EQUIPAMENTOS COMERCIAIS E INDUSTRIAIS NÃO ESPECIFICADOS ANTERIORMENTE, SEM OPERADOR         "
4753900,COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO                                     
8121400,LIMPEZA EM PRÉDIOS E EM DOMICÍLIOS                                                                                       
6436100,"SOCIEDADES DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO - FINANCEIRAS                                                        "
4689301,"COMÉRCIO ATACADISTA DE PRODUTOS DA EXTRAÇÃO MINERAL, EXCETO COMBUSTÍVEIS                                                 "
4743100,COMÉRCIO VAREJISTA DE VIDROS                                                                                             
2091600,FABRICAÇÃO DE ADESIVOS E SELANTES                                                                                        
4771701,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS                                                "
1813001,IMPRESSÃO DE MATERIAL PARA USO PUBLICITÁRIO                                                                              
4789002,COMÉRCIO VAREJISTA DE PLANTAS E FLORES NATURAIS                                                                          
5611201,RESTAURANTES E SIMILARES                                                                                                 
8599601,FORMAÇÃO DE CONDUTORES                                                                                                   
4771702,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, COM MANIPULAÇÃO DE FÓRMULAS                                                "
4759899,COMÉRCIO VAREJISTA DE OUTROS ARTIGOS DE USO DOMÉSTICO NÃO ESPECIFICADOS ANTERIORMENTE                                    
2330399,"FABRICAÇÃO DE OUTROS ARTEFATOS E PRODUTOS DE CONCRETO, CIMENTO, FIBROCIMENTO, GESSO E MATERIAIS SEMELHANTES              "
8299799,OUTRAS ATIVIDADES DE SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS NÃO ESPECIFICADAS ANTERIORMENTE                       
4639701,COMÉRCIO ATACADISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL                                                                    
6622300,"CORRETORES E AGENTES DE SEGUROS, DE PLANOS DE PREVIDÊNCIA COMPLEMENTAR E DE SAÚDE                                        "
4732600,COMÉRCIO VAREJISTA DE LUBRIFICANTES                                                                                      
4763601,COMÉRCIO VAREJISTA DE BRINQUEDOS E ARTIGOS RECREATIVOS                                                                   
4511102,"COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS USADOS                                                         "
4689399,COMÉRCIO ATACADISTA ESPECIALIZADO EM OUTROS PRODUTOS INTERMEDIÁRIOS NÃO ESPECIFICADOS ANTERIORMENTE                      
4721102,PADARIA E CONFEITARIA COM PREDOMINÂNCIA DE REVENDA                                                                       
4744001,COMÉRCIO VAREJISTA DE FERRAGENS E FERRAMENTAS                                                                            
4755501,COMÉRCIO VAREJISTA DE TECIDOS                                                                                            
1099604,FABRICAÇÃO DE GELO COMUM                                                                                                 
6821801,CORRETAGEM NA COMPRA E VENDA E AVALIAÇÃO DE IMÓVEIS                                                                      
2539001,"SERVIÇOS DE USINAGEM, TORNEARIA E SOLDA                                                                                  "
4321500,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA                                                                                         
4633801,"COMÉRCIO ATACADISTA DE FRUTAS, VERDURAS, RAÍZES, TUBÉRCULOS, HORTALIÇAS E LEGUMES FRESCOS                                "
4754702,COMÉRCIO VAREJISTA DE ARTIGOS DE COLCHOARIA                                                                              
5620102,SERVIÇOS DE ALIMENTAÇÃO PARA EVENTOS E RECEPÇÕES - BUFÊ                                                                  
6821802,CORRETAGEM NO ALUGUEL DE IMÓVEIS                                                                                         
4723700,COMÉRCIO VAREJISTA DE BEBIDAS                                                                                            
4713002,"LOJAS DE VARIEDADES, EXCETO LOJAS DE DEPARTAMENTOS OU MAGAZINES                                                          "
4686902,COMÉRCIO ATACADISTA DE EMBALAGENS                                                                                        
4930203,TRANSPORTE RODOVIÁRIO DE PRODUTOS PERIGOSOS                                                                              
4930202,"TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANÇAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL      "
4632001,COMÉRCIO ATACADISTA DE CEREAIS E LEGUMINOSAS BENEFICIADOS                                                                
5510801,HOTÉIS                                                                                                                   
4789004,COMÉRCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMAÇÃO                                   
4744002,COMÉRCIO VAREJISTA DE MADEIRA E ARTEFATOS                                                                                
2829199,"FABRICAÇÃO DE OUTRAS MÁQUINAS E EQUIPAMENTOS DE USO GERAL NÃO ESPECIFICADOS ANTERIORMENTE, PEÇAS E ACESSÓRIOS            "
3314707,MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E APARELHOS DE REFRIGERAÇÃO E VENTILAÇÃO PARA USO INDUSTRIAL E COMERCIAL              
8630501,ATIVIDADE MÉDICA AMBULATORIAL COM RECURSOS PARA REALIZAÇÃO DE PROCEDIMENTOS CIRÚRGICOS                                   
2029100,FABRICAÇÃO DE PRODUTOS QUÍMICOS ORGÂNICOS NÃO ESPECIFICADOS ANTERIORMENTE                                                
1413402,"CONFECÇÃO, SOB MEDIDA, DE ROUPAS PROFISSIONAIS                                                                           "
7112000,SERVIÇOS DE ENGENHARIA                                                                                                   
8219999,PREPARAÇÃO DE DOCUMENTOS E SERVIÇOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NÃO ESPECIFICADOS ANTERIORMENTE               
5223100,ESTACIONAMENTO DE VEÍCULOS                                                                                               
4784900,COMÉRCIO VAREJISTA DE GÁS LIQÜEFEITO DE PETRÓLEO (GLP)                                                                   
7020400,"ATIVIDADES DE CONSULTORIA EM GESTÃO EMPRESARIAL, EXCETO CONSULTORIA TÉCNICA ESPECÍFICA                                   "
4329101,INSTALAÇÃO DE PAINÉIS PUBLICITÁRIOS                                                                                      
8291100,ATIVIDADES DE COBRANÇA E INFORMAÇÕES CADASTRAIS                                                                          
4663000,COMÉRCIO ATACADISTA DE MÁQUINAS E EQUIPAMENTOS PARA USO INDUSTRIAL (PARTES E PEÇAS)
4520006,SERVIÇOS DE BORRACHARIA PARA VEÍCULOS AUTOMOTORES                                                                        
1741902,"FABRICAÇÃO DE PRODUTOS DE PAPEL, CARTOLINA, PAPEL-CARTÃO E PAPELÃO ONDULADO PARA USO COMERCIAL E DE ESCRITÓRIO           "
8512100,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA                                                                                           
4530704,COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS USADOS PARA VEÍCULOS AUTOMOTORES                                                 
1412601,"CONFECÇÃO DE PEÇAS DO VESTUÁRIO, EXCETO ROUPAS ÍNTIMAS E AS CONFECCIONADAS SOB MEDIDA                                    "
1813099,IMPRESSÃO DE MATERIAL PARA OUTROS USOS                                                                                   
4761003,COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA                                                                               
8511200,EDUCAÇÃO INFANTIL - CRECHE                                                                                               
5829800,"EDIÇÃO INTEGRADA À IMPRESSÃO DE CADASTROS, LISTAS E OUTROS PRODUTOS GRÁFICOS                                             "
4520002,SERVIÇOS DE LANTERNAGEM OU FUNILARIA E PINTURA DE VEÍCULOS AUTOMOTORES                                                   
8111700,"SERVIÇOS COMBINADOS PARA APOIO A EDIFÍCIOS, EXCETO CONDOMÍNIOS PREDIAIS                                                  "
3811400,COLETA DE RESÍDUOS NÃO-PERIGOSOS                                                                                         
5611203,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES                                                                          "
6424703,COOPERATIVAS DE CRÉDITO MÚTUO                                                                                            
7732201,"ALUGUEL DE MÁQUINAS E EQUIPAMENTOS PARA CONSTRUÇÃO SEM OPERADOR, EXCETO ANDAIMES                                         "
2391503,"APARELHAMENTO DE PLACAS E EXECUÇÃO DE TRABALHOS EM MÁRMORE, GRANITO, ARDÓSIA E OUTRAS PEDRAS                             "
8513900,ENSINO FUNDAMENTAL                                                                                                       
6201501,DESENVOLVIMENTO DE PROGRAMAS DE COMPUTADOR SOB ENC
9529102,CHAVEIROS                                                                                                                
4652400,COMÉRCIO ATACADISTA DE COMPONENTES ELETRÔNICOS E EQUIPAMENTOS DE TELEFONIA E COMUNICAÇÃO                                 
4530705,COMÉRCIO A VAREJO DE PNEUMÁTICOS E CÂMARAS-DE-AR                                                                         
4789001,"COMÉRCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS                                                                "
4313400,OBRAS DE TERRAPLENAGEM                                                                                                   
1081302,TORREFAÇÃO E MOAGEM DE CAFÉ                                                                                              
9511800,REPARAÇÃO E MANUTENÇÃO DE COMPUTADORES E DE EQUIPAMENTOS PERIFÉRICOS                                                     
4751201,COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA                                            
4773300,COMÉRCIO VAREJISTA DE ARTIGOS MÉDICOS E ORTOPÉDICOS                                                                      
