Competência,Subclasse,Admitidos,Desligados,Saldo
07/2020,Com. Var. Especial. de Equip. e Suprimentos de Informática,3,1,2
07/2020,"Com. Var. de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal",1,0,1
07/2020,"Com. Var. de Produtos Farmac., sem Manip. de Fórmulas",0,1,-1
07/2020,Com. Var. de Mat. de Const. não Especif. Ant.,1,0,1
07/2020,Com. Var. Especial. de Eletrod. e Equip. de áudio e Vídeo,14,1,13
07/2020,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Minimercados, Mercearias e Armazéns",1,0,1
07/2020,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,0,1,-1
07/2020,Com. Var. de Outros Produtos não Especif. Ant.,1,0,1
07/2020,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,1,1,0
07/2020,"Com. Var. de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal",0,1,-1
07/2020,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,0,1,-1
07/2020,"Com. Var. de Produtos Farmac., com Manip. de Fórmulas",1,2,-1
07/2020,Com. Var. de Outros Produtos não Especif. Ant.,2,0,2
07/2020,Comercio Var. de Art. de Armarinho,1,1,0
07/2020,Com. Var. Especial. de Eletrod. e Equip. de áudio e Vídeo,0,1,-1
07/2020,Com. Var. de Art. do Vestuário e Acessórios,0,1,-1
07/2020,"Com. Atac. de Merc. em Geral, sem Pred. de Alimentos ou de Insumos Agropecuários",17,5,12
07/2020,"Com. a Var. de Automóveis, Camionetas e Utilitários Novos",5,2,3
07/2020,Com. Atac. de Medicamentos e Drogas de Uso Humano,31,22,9
07/2020,Com. Var. Especial. de Equip. de Telefonia e Comunicação,2,0,2
07/2020,Com. Var. de Hortifrutigranjeiros,0,2,-2
07/2020,Com. Var. de Art. do Vestuário e Acessórios,0,1,-1
07/2020,"Com. Atac. de Produtos da Extração Mineral, Exceto Comb.",1,1,0
07/2020,Com. Var. Especial. de Equip. e Suprimentos de Informática,0,1,-1
07/2020,Com. Atac. de Outros Equip. e Art. de Uso Pessoal e Doméstico não Especif. Ant.,0,2,-2
07/2020,Com. Var. de Outros Produtos não Especif. Ant.,1,0,1
07/2020,Comercio Var. de Art. de Armarinho,1,1,0
07/2020,"Com. Var. de Doces, Balas, Bombons e Semelhantes",1,0,1
07/2020,Com. Atac. de Resíduos e Sucatas Metálicos,0,1,-1
07/2020,Com. Atac. de Carnes Bovinas e Suínas e Derivados,4,10,-6
07/2020,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Minimercados, Mercearias e Armazéns",1,1,0
07/2020,Com. por Atacado de Pneumáticos e Câmaras-De-Ar,0,2,-2
07/2020,Com. Atac. de Resíduos e Sucatas Metálicos,1,0,1
07/2020,Com. Atac. de Sorvetes,0,1,-1
07/2020,Com. Var. de Comb. para Veíc. Autom.,0,2,-2
07/2020,Com. Atac. de Produtos Alim. em Geral,4,1,3
07/2020,Com. Var. Especial. de Equip. e Suprimentos de Informática,0,1,-1
07/2020,"Com. Var. de Produtos Farmac., sem Manip. de Fórmulas",1,1,0
07/2020,Com. Var. de Ferragens e Ferramentas,0,1,-1
07/2020,"Com. a Var. de Automóveis, Camionetas e Utilitários Novos",0,1,-1
07/2020,Com. Var. de Gás LiqüEfeito de Petróleo (Glp),1,2,-1
07/2020,Representantes Comerciais e Agentes do Com. de Merc. em Geral não Especial.,1,0,1
07/2020,Com. Var. de Outros Produtos não Especif. Ant.,1,0,1
07/2020,Com. Atac. de Material Elétrico,0,1,-1
07/2020,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,0,1,-1
07/2020,"Com. a Var. de Automóveis, Camionetas e Utilitários Novos",0,1,-1
07/2020,"Com. a Var. de Automóveis, Camionetas e Utilitários Novos",0,1,-1
07/2020,"Com. a Var. de Automóveis, Camionetas e Utilitários Usados",0,1,-1
07/2020,Com. Var. de Outros Produtos não Especif. Ant.,0,1,-1
07/2020,Padaria e Confeitaria com Pred. de Revenda,2,0,2
07/2020,Com. Var. de Carnes - Açougues,0,1,-1
07/2020,Com. Var. de Móveis,1,0,1
07/2020,Com. Var. de Móveis,2,0,2
07/2020,Com. Var. de Móveis,0,1,-1
07/2020,Com. Var. de Art. do Vestuário e Acessórios,0,1,-1
07/2020,Com. Var. de Outros Produtos não Especif. Ant.,2,0,2
07/2020,"Com. a Var. de Automóveis, Camionetas e Utilitários Usados",0,1,-1
07/2020,Com. Var. de Art. do Vestuário e Acessórios,0,1,-1
07/2020,Com. Var. de Tintas e Mat. para Pintura,1,0,1
07/2020,Com. Var. de Calçados,0,1,-1
07/2020,Com. Var. de Outros Produtos não Especif. Ant.,1,0,1
07/2020,"Com. Var. de Produtos Farmac., sem Manip. de Fórmulas",1,0,1
07/2020,Com. Atac. Especial. em Outros Produtos Intermediários não Especif. Ant.,1,0,1
07/2020,Com. Atac. de Produtos Alim. em Geral,1,0,1
07/2020,Com. Var. de Produtos Alim. em Geral ou Especial. em Produtos Alim. não Especif. Ant.,0,1,-1
07/2020,"Com. Atac. de Frutas, Verduras, Raízes, Tubérculos, Hortaliças e Legumes Frescos",0,1,-1
07/2020,Com. Atac. de Cosméticos e Produtos de Perfumaria,1,7,-6
07/2020,Com. Var. de Art. de Iluminação,0,1,-1
07/2020,Com. Var. de Outros Produtos não Especif. Ant.,0,1,-1
07/2020,Com. Var. de Mat. de Const. em Geral,0,1,-1
07/2020,Com. Var. de Art. do Vestuário e Acessórios,0,2,-2
07/2020,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Superm.",1,0,1
07/2020,Com. Var. de Móveis,1,0,1
07/2020,"Com. Atac. de Frutas, Verduras, Raízes, Tubérculos, Hortaliças e Legumes Frescos",0,1,-1
07/2020,"Serv. de Lavagem, Lubrificação e Polimento de Veíc. Autom.",1,0,1
07/2020,Com. Var. Especial. de Equip. e Suprimentos de Informática,2,1,1
07/2020,"Com. Atac. de Frutas, Verduras, Raízes, Tubérculos, Hortaliças e Legumes Frescos",0,2,-2
07/2020,Com. Var. de Mat. de Const. não Especif. Ant.,0,3,-3
07/2020,"Com. Var. de Doces, Balas, Bombons e Semelhantes",1,0,1
07/2020,Com. Var. de Comb. para Veíc. Autom.,0,1,-1
07/2020,Com. Atac. de Sorvetes,7,3,4
07/2020,Com. Var. de Mat. de Const. não Especif. Ant.,0,1,-1
07/2020,Com. Atac. de Outros Equip. e Art. de Uso Pessoal e Doméstico não Especif. Ant.,1,0,1
07/2020,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,2,0,2
07/2020,Com. Atac. de Ferragens e Ferramentas,6,5,1
07/2020,Com. Var. de Bebidas,0,1,-1
07/2020,Com. Var. de Art. do Vestuário e Acessórios,1,0,1
07/2020,Com. por Atacado de Peças e Acessórios para Motocicletas e Motonetas,1,0,1
07/2020,Com. Atac. de Produtos Alim. em Geral,9,9,0
07/2020,"Com. Var. de Suvenires, Bijuterias e Artesanatos",1,0,1
07/2020,Com. Var. de Plantas e Flores Naturais,1,0,1
07/2020,Com. Var. de Outros Produtos não Especif. Ant.,0,1,-1
07/2020,Serv. de Manutenção e Reparação Mecânica de Veíc. Autom.,1,0,1
07/2020,Com. Var. de Equip. para Escritório,0,1,-1
07/2020,Com. Var. Especial. de Eletrod. e Equip. de áudio e Vídeo,1,1,0
